titulo,genero,duracion,tono,anio,calificacion
Annie Hall,"Comedy, Romance",media,divertido,1977,8.0
Jaws,"Adventure, Thriller",larga,neutral,1975,8.0
Dog Day Afternoon,"Biography, Crime, Drama",larga,serio,1975,8.0
Young Frankenstein,Comedy,media,divertido,1974,8.0
Papillon,"Biography, Crime, Drama",larga,serio,1973,8.0
The Exorcist,Horror,larga,oscuro,1973,8.0
Sleuth,"Mystery, Thriller",larga,neutral,1972,8.0
The Last Picture Show,"Drama, Romance",media,serio,1971,8.0
Fiddler on the Roof,"Drama, Family, Musical",larga,serio,1971,8.0
Il conformista,Drama,media,serio,1970,8.0
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama",media,serio,1969,8.0
Rosemary's Baby,"Drama, Horror",larga,serio,1968,8.0
Planet of the Apes,"Adventure, Sci-Fi",media,neutral,1968,8.0
The Graduate,"Comedy, Drama, Romance",media,divertido,1967,8.0
Who's Afraid of Virginia Woolf?,Drama,larga,serio,1966,8.0
The Sound of Music,"Biography, Drama, Family",larga,serio,1965,8.0
Doctor Zhivago,"Drama, Romance, War",larga,serio,1965,8.0
Per un pugno di dollari,"Action, Drama, Western",media,serio,1964,8.0
8½,Drama,larga,serio,1963,8.0
Vivre sa vie: Film en douze tableaux,Drama,corta,serio,1962,8.0
The Hustler,"Drama, Sport",larga,serio,1961,8.0
La dolce vita,"Comedy, Drama",larga,divertido,1960,8.0
Rio Bravo,"Action, Drama, Western",larga,serio,1959,8.0
Anatomy of a Murder,"Crime, Drama, Mystery",larga,serio,1959,8.0
Touch of Evil,"Crime, Drama, Film-Noir",media,serio,1958,8.0
Cat on a Hot Tin Roof,Drama,media,serio,1958,8.0
Sweet Smell of Success,"Drama, Film-Noir",media,serio,1957,8.0
The Killing,"Crime, Drama, Film-Noir",corta,serio,1956,8.0
The Night of the Hunter,"Crime, Drama, Film-Noir",media,serio,1955,8.0
La Strada,Drama,media,serio,1954,8.0
Les diaboliques,"Crime, Drama, Horror",media,serio,1955,8.0
Stalag 17,"Comedy, Drama, War",media,divertido,1953,8.0
Roman Holiday,"Comedy, Romance",media,divertido,1953,8.0
A Streetcar Named Desire,Drama,larga,serio,1951,8.0
In a Lonely Place,"Drama, Film-Noir, Mystery",media,serio,1950,8.0
Kind Hearts and Coronets,"Comedy, Crime",media,divertido,1949,8.0
Rope,"Crime, Drama, Mystery",corta,serio,1948,8.0
Out of the Past,"Crime, Drama, Film-Noir",media,serio,1947,8.0
Brief Encounter,"Drama, Romance",corta,serio,1945,8.0
Laura,"Drama, Film-Noir, Mystery",corta,serio,1944,8.0
The Best Years of Our Lives,"Drama, Romance, War",larga,serio,1946,8.0
Arsenic and Old Lace,"Comedy, Crime, Thriller",media,divertido,1942,8.0
The Maltese Falcon,"Film-Noir, Mystery",media,neutral,1941,8.0
The Grapes of Wrath,"Drama, History",larga,serio,1940,8.0
The Wizard of Oz,"Adventure, Family, Fantasy",media,neutral,1939,8.0
La règle du jeu,"Comedy, Drama",media,divertido,1939,8.0
The Thin Man,"Comedy, Crime, Mystery",media,divertido,1934,8.0
All Quiet on the Western Front,"Drama, War",larga,serio,1930,8.0
Bronenosets Potemkin,"Drama, History, Thriller",corta,serio,1925,8.0
Knives Out,"Comedy, Crime, Drama",larga,divertido,2019,7.9
Dil Bechara,"Comedy, Drama, Romance",media,divertido,2020,7.9
Manbiki kazoku,"Crime, Drama",larga,serio,2018,7.9
Marriage Story,"Comedy, Drama, Romance",larga,divertido,2019,7.9
Call Me by Your Name,"Drama, Romance",larga,serio,2017,7.9
"I, Daniel Blake",Drama,media,serio,2016,7.9
Isle of Dogs,"Animation, Adventure, Comedy",media,divertido,2018,7.9
Hunt for the Wilderpeople,"Adventure, Comedy, Drama",media,divertido,2016,7.9
Captain Fantastic,"Comedy, Drama",media,divertido,2016,7.9
Sing Street,"Comedy, Drama, Music",media,divertido,2016,7.9
Thor: Ragnarok,"Action, Adventure, Comedy",larga,divertido,2017,7.9
Nightcrawler,"Crime, Drama, Thriller",media,serio,2014,7.9
Jojo Rabbit,"Comedy, Drama, War",media,divertido,2019,7.9
Arrival,"Drama, Sci-Fi",media,serio,2016,7.9
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",larga,emocionante,2015,7.9
Before Midnight,"Drama, Romance",media,serio,2013,7.9
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",larga,emocionante,2014,7.9
Bir Zamanlar Anadolu'da,"Crime, Drama",larga,serio,2011,7.9
The Artist,"Comedy, Drama, Romance",media,divertido,2011,7.9
Edge of Tomorrow,"Action, Adventure, Sci-Fi",media,emocionante,2014,7.9
Amour,"Drama, Romance",larga,serio,2012,7.9
The Irishman,"Biography, Crime, Drama",larga,serio,2019,7.9
Un prophète,"Crime, Drama",larga,serio,2009,7.9
Moon,"Drama, Mystery, Sci-Fi",media,serio,2009,7.9
Låt den rätte komma in,"Crime, Drama, Fantasy",media,serio,2008,7.9
District 9,"Action, Sci-Fi, Thriller",media,emocionante,2009,7.9
The Wrestler,"Drama, Sport",media,serio,2008,7.9
Jab We Met,"Comedy, Drama, Romance",larga,divertido,2007,7.9
Boyhood,Drama,larga,serio,2014,7.9
"4 luni, 3 saptamâni si 2 zile",Drama,media,serio,2007,7.9
Star Trek,"Action, Adventure, Sci-Fi",larga,emocionante,2009,7.9
In Bruges,"Comedy, Crime, Drama",media,divertido,2008,7.9
The Man from Earth,"Drama, Fantasy, Mystery",corta,serio,2007,7.9
Letters from Iwo Jima,"Action, Adventure, Drama",larga,serio,2006,7.9
The Fall,"Adventure, Drama, Fantasy",media,serio,2006,7.9
Life of Pi,"Adventure, Drama, Fantasy",larga,serio,2012,7.9
Fantastic Mr. Fox,"Animation, Adventure, Comedy",corta,divertido,2009,7.9
C.R.A.Z.Y.,"Comedy, Drama",larga,divertido,2005,7.9
Les choristes,"Drama, Music",media,serio,2004,7.9
Iron Man,"Action, Adventure, Sci-Fi",larga,emocionante,2008,7.9
Shaun of the Dead,"Comedy, Horror",media,divertido,2004,7.9
Gegen die Wand,"Drama, Romance",larga,serio,2004,7.9
Mystic River,"Crime, Drama, Mystery",larga,serio,2003,7.9
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",larga,neutral,2004,7.9
Ying xiong,"Action, Adventure, History",media,emocionante,2002,7.9
Hable con ella,"Drama, Mystery, Romance",media,serio,2002,7.9
No Man's Land,"Comedy, Drama, War",media,divertido,2001,7.9
Cowboy Bebop: Tengoku no tobira,"Animation, Action, Crime",media,emocionante,2001,7.9
The Bourne Identity,"Action, Mystery, Thriller",media,emocionante,2002,7.9
Nueve reinas,"Crime, Drama, Thriller",media,serio,2000,7.9
Children of Men,"Adventure, Drama, Sci-Fi",media,serio,2006,7.9
Almost Famous,"Adventure, Comedy, Drama",larga,divertido,2000,7.9
Mulholland Dr.,"Drama, Mystery, Thriller",larga,serio,2001,7.9
Toy Story 2,"Animation, Adventure, Comedy",media,divertido,1999,7.9
Boogie Nights,Drama,larga,serio,1997,7.9
Mimi wo sumaseba,"Animation, Drama, Family",media,serio,1995,7.9
Once Were Warriors,"Crime, Drama",media,serio,1994,7.9
True Romance,"Crime, Drama, Romance",media,serio,1993,7.9
Trois couleurs: Bleu,"Drama, Music, Mystery",media,serio,1993,7.9
Jûbê ninpûchô,"Animation, Action, Adventure",media,emocionante,1993,7.9
Carlito's Way,"Crime, Drama, Thriller",larga,serio,1993,7.9
Edward Scissorhands,"Drama, Fantasy, Romance",media,serio,1990,7.9
My Left Foot: The Story of Christy Brown,"Biography, Drama",media,serio,1989,7.9
Crimes and Misdemeanors,"Comedy, Drama",media,divertido,1989,7.9
The Untouchables,"Crime, Drama, Thriller",media,serio,1987,7.9
Hannah and Her Sisters,"Comedy, Drama",media,divertido,1986,7.9
Brazil,"Drama, Sci-Fi",larga,serio,1985,7.9
This Is Spinal Tap,"Comedy, Music",corta,divertido,1984,7.9
A Christmas Story,"Comedy, Family",media,divertido,1983,7.9
The Blues Brothers,"Action, Adventure, Comedy",larga,divertido,1980,7.9
Manhattan,"Comedy, Drama, Romance",media,divertido,1979,7.9
All That Jazz,"Drama, Music, Musical",larga,serio,1979,7.9
Dawn of the Dead,"Action, Adventure, Horror",larga,emocionante,1978,7.9
All the President's Men,"Biography, Drama, History",larga,serio,1976,7.9
La montaña sagrada,"Adventure, Drama, Fantasy",media,serio,1973,7.9
Amarcord,"Comedy, Drama, Family",larga,divertido,1973,7.9
Le charme discret de la bourgeoisie,Comedy,media,divertido,1972,7.9
"Aguirre, der Zorn Gottes","Action, Adventure, Biography",media,emocionante,1972,7.9
Harold and Maude,"Comedy, Drama, Romance",media,divertido,1971,7.9
Patton,"Biography, Drama, War",larga,serio,1970,7.9
The Wild Bunch,"Action, Adventure, Western",larga,emocionante,1969,7.9
Night of the Living Dead,"Horror, Thriller",media,oscuro,1968,7.9
The Lion in Winter,"Biography, Drama, History",larga,serio,1968,7.9
In the Heat of the Night,"Crime, Drama, Mystery",media,serio,1967,7.9
Charade,"Comedy, Mystery, Romance",media,divertido,1963,7.9
The Manchurian Candidate,"Drama, Thriller",larga,serio,1962,7.9
Spartacus,"Adventure, Biography, Drama",larga,serio,1960,7.9
L'avventura,"Drama, Mystery",larga,serio,1960,7.9
Hiroshima mon amour,"Drama, Romance",media,serio,1959,7.9
The Ten Commandments,"Adventure, Drama",larga,serio,1956,7.9
The Searchers,"Adventure, Drama, Western",media,serio,1956,7.9
East of Eden,Drama,media,serio,1955,7.9
High Noon,"Drama, Thriller, Western",corta,serio,1952,7.9
Strangers on a Train,"Crime, Film-Noir, Thriller",media,neutral,1951,7.9
Harvey,"Comedy, Drama, Fantasy",media,divertido,1950,7.9
Miracle on 34th Street,"Comedy, Drama, Family",media,divertido,1947,7.9
Notorious,"Drama, Film-Noir, Romance",media,serio,1946,7.9
The Big Sleep,"Crime, Film-Noir, Mystery",media,neutral,1946,7.9
The Lost Weekend,"Drama, Film-Noir",media,serio,1945,7.9
The Philadelphia Story,"Comedy, Romance",media,divertido,1940,7.9
His Girl Friday,"Comedy, Drama, Romance",media,divertido,1940,7.9
The Adventures of Robin Hood,"Action, Adventure, Romance",media,emocionante,1938,7.9
A Night at the Opera,"Comedy, Music, Musical",media,divertido,1935,7.9
King Kong,"Adventure, Horror, Sci-Fi",media,oscuro,1933,7.9
Freaks,"Drama, Horror",corta,serio,1932,7.9
Nosferatu,"Fantasy, Horror",media,oscuro,1922,7.9
The Gentlemen,"Action, Comedy, Crime",media,divertido,2019,7.8
Raazi,"Action, Drama, Thriller",larga,serio,2018,7.8
Sound of Metal,"Drama, Music",media,serio,2019,7.8
Forushande,Drama,larga,serio,2016,7.8
Dunkirk,"Action, Drama, History",media,serio,2017,7.8
Perfetti sconosciuti,"Comedy, Drama",media,divertido,2016,7.8
Hidden Figures,"Biography, Drama, History",larga,serio,2016,7.8
Paddington 2,"Adventure, Comedy, Family",media,divertido,2017,7.8
Udta Punjab,"Action, Crime, Drama",larga,serio,2016,7.8
Kubo and the Two Strings,"Animation, Action, Adventure",media,emocionante,2016,7.8
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",larga,serio,2016,7.8
Manchester by the Sea,Drama,larga,serio,2016,7.8
Under sandet,"Drama, History, War",media,serio,2015,7.8
Rogue One,"Action, Adventure, Sci-Fi",larga,emocionante,2016,7.8
Captain America: Civil War,"Action, Adventure, Sci-Fi",larga,emocionante,2016,7.8
The Hateful Eight,"Crime, Drama, Mystery",larga,serio,2015,7.8
Little Women,"Drama, Romance",larga,serio,2019,7.8
Loving Vincent,"Animation, Biography, Crime",media,inspirador,2017,7.8
Pride,"Biography, Comedy, Drama",media,divertido,2014,7.8
Le passé,"Drama, Mystery",larga,serio,2013,7.8
La grande bellezza,Drama,larga,serio,2013,7.8
The Lunchbox,"Drama, Romance",media,serio,2013,7.8
Vicky Donor,"Comedy, Romance",larga,divertido,2012,7.8
Big Hero 6,"Animation, Action, Adventure",media,emocionante,2014,7.8
About Time,"Comedy, Drama, Fantasy",larga,divertido,2013,7.8
English Vinglish,"Comedy, Drama, Family",larga,divertido,2012,7.8
Kaze tachinu,"Animation, Biography, Drama",larga,serio,2013,7.8
Toy Story 4,"Animation, Adventure, Comedy",media,divertido,2019,7.8
La migliore offerta,"Crime, Drama, Mystery",larga,serio,2013,7.8
Moonrise Kingdom,"Comedy, Drama, Romance",media,divertido,2012,7.8
How to Train Your Dragon 2,"Animation, Action, Adventure",media,emocionante,2014,7.8
The Big Short,"Biography, Comedy, Drama",larga,divertido,2015,7.8
Kokuhaku,"Drama, Thriller",media,serio,2010,7.8
Ang-ma-reul bo-at-da,"Action, Crime, Drama",larga,serio,2010,7.8
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",larga,serio,2011,7.8
Captain Phillips,"Adventure, Biography, Crime",larga,inspirador,2013,7.8
Ajeossi,"Action, Crime, Drama",media,serio,2010,7.8
Straight Outta Compton,"Biography, Drama, History",larga,serio,2015,7.8
Madeo,"Crime, Drama, Mystery",larga,serio,2009,7.8
Chugyeokja,"Action, Crime, Thriller",larga,emocionante,2008,7.8
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",larga,neutral,2013,7.8
Das weiße Band - Eine deutsche Kindergeschichte,"Drama, History, Mystery",larga,serio,2009,7.8
Män som hatar kvinnor,"Crime, Drama, Mystery",larga,serio,2009,7.8
The Trial of the Chicago 7,"Drama, History, Thriller",larga,serio,2020,7.8
Druk,"Comedy, Drama",media,divertido,2020,7.8
The Fighter,"Biography, Drama, Sport",media,serio,2010,7.8
Taken,"Action, Thriller",media,emocionante,2008,7.8
The Boy in the Striped Pyjamas,"Drama, History, War",media,serio,2008,7.8
Once,"Drama, Music, Romance",corta,serio,2007,7.8
The Hobbit: An Unexpected Journey,"Adventure, Fantasy",larga,neutral,2012,7.8
Auf der anderen Seite,Drama,larga,serio,2007,7.8
Atonement,"Drama, Mystery, Romance",larga,serio,2007,7.8
Drive,"Crime, Drama",media,serio,2011,7.8
American Gangster,"Biography, Crime, Drama",larga,serio,2007,7.8
Avatar,"Action, Adventure, Fantasy",larga,emocionante,2009,7.8
Mr. Nobody,"Drama, Fantasy, Romance",larga,serio,2009,7.8
Apocalypto,"Action, Adventure, Drama",larga,serio,2006,7.8
Little Miss Sunshine,"Comedy, Drama",media,divertido,2006,7.8
Hot Fuzz,"Action, Comedy, Mystery",larga,divertido,2007,7.8
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",larga,serio,2008,7.8
Veer-Zaara,"Drama, Family, Musical",larga,serio,2004,7.8
Adams æbler,"Comedy, Crime, Drama",media,divertido,2005,7.8
Pride & Prejudice,"Drama, Romance",larga,serio,2005,7.8
The World's Fastest Indian,"Biography, Drama, Sport",larga,serio,2005,7.8
Tôkyô goddofâzâzu,"Animation, Adventure, Comedy",media,divertido,2003,7.8
Serenity,"Action, Adventure, Sci-Fi",media,emocionante,2005,7.8
Walk the Line,"Biography, Drama, Music",larga,serio,2005,7.8
Ondskan,Drama,media,serio,2003,7.8
The Notebook,"Drama, Romance",larga,serio,2004,7.8
Diarios de motocicleta,"Adventure, Biography, Drama",larga,serio,2004,7.8
Lilja 4-ever,"Crime, Drama",media,serio,2002,7.8
Les triplettes de Belleville,"Animation, Comedy, Drama",corta,divertido,2003,7.8
Gongdong gyeongbi guyeok JSA,"Action, Drama, Thriller",media,serio,2000,7.8
The Count of Monte Cristo,"Action, Adventure, Drama",larga,serio,2002,7.8
Waking Life,"Animation, Drama, Fantasy",media,serio,2001,7.8
Remember the Titans,"Biography, Drama, Sport",media,serio,2000,7.8
Wo hu cang long,"Action, Adventure, Fantasy",media,emocionante,2000,7.8
Todo sobre mi madre,Drama,media,serio,1999,7.8
Cast Away,"Adventure, Drama, Romance",larga,serio,2000,7.8
The Boondock Saints,"Action, Crime, Thriller",media,emocionante,1999,7.8
The Insider,"Biography, Drama, Thriller",larga,serio,1999,7.8
October Sky,"Biography, Drama, Family",media,serio,1999,7.8
Shrek,"Animation, Adventure, Comedy",media,divertido,2001,7.8
Titanic,"Drama, Romance",larga,serio,1997,7.8
Hana-bi,"Crime, Drama, Romance",media,serio,1997,7.8
Gattaca,"Drama, Sci-Fi, Thriller",media,serio,1997,7.8
The Game,"Action, Drama, Mystery",larga,serio,1997,7.8
Breaking the Waves,Drama,larga,serio,1996,7.8
Ed Wood,"Biography, Comedy, Drama",larga,divertido,1994,7.8
What's Eating Gilbert Grape,Drama,media,serio,1993,7.8
Tombstone,"Action, Biography, Drama",larga,serio,1993,7.8
The Sandlot,"Comedy, Drama, Family",media,divertido,1993,7.8
The Remains of the Day,"Drama, Romance",larga,serio,1993,7.8
Naked,"Comedy, Drama",larga,divertido,1993,7.8
The Fugitive,"Action, Crime, Drama",larga,serio,1993,7.8
A Bronx Tale,"Crime, Drama, Romance",larga,serio,1993,7.8
Batman: Mask of the Phantasm,"Animation, Action, Crime",corta,emocionante,1993,7.8
Lat sau san taam,"Action, Crime, Thriller",larga,emocionante,1992,7.8
Night on Earth,"Comedy, Drama",larga,divertido,1991,7.8
La double vie de Véronique,"Drama, Fantasy, Music",media,serio,1991,7.8
Boyz n the Hood,"Crime, Drama",media,serio,1991,7.8
Misery,"Drama, Thriller",media,serio,1990,7.8
Awakenings,"Biography, Drama",larga,serio,1990,7.8
Majo no takkyûbin,"Animation, Adventure, Drama",media,serio,1989,7.8
Glory,"Biography, Drama, History",larga,serio,1989,7.8
Dip huet seung hung,"Action, Crime, Drama",media,serio,1989,7.8
Back to the Future Part II,"Adventure, Comedy, Sci-Fi",media,divertido,1989,7.8
Mississippi Burning,"Crime, Drama, History",larga,serio,1988,7.8
Predator,"Action, Adventure, Sci-Fi",media,emocionante,1987,7.8
Evil Dead II,"Action, Comedy, Fantasy",corta,divertido,1987,7.8
Ferris Bueller's Day Off,Comedy,media,divertido,1986,7.8
Down by Law,"Comedy, Crime, Drama",media,divertido,1986,7.8
The Goonies,"Adventure, Comedy, Family",media,divertido,1985,7.8
The Color Purple,Drama,larga,serio,1985,7.8
The Breakfast Club,"Comedy, Drama",media,divertido,1985,7.8
The Killing Fields,"Biography, Drama, History",larga,serio,1984,7.8
Ghostbusters,"Action, Comedy, Fantasy",media,divertido,1984,7.8
The Right Stuff,"Adventure, Biography, Drama",larga,serio,1983,7.8
The King of Comedy,"Comedy, Crime, Drama",media,divertido,1982,7.8
E.T. the Extra-Terrestrial,"Family, Sci-Fi",media,neutral,1982,7.8
Kramer vs. Kramer,Drama,media,serio,1979,7.8
Days of Heaven,"Drama, Romance",media,serio,1978,7.8
The Outlaw Josey Wales,Western,larga,neutral,1976,7.8
The Man Who Would Be King,"Adventure, History, War",larga,neutral,1975,7.8
The Conversation,"Drama, Mystery, Thriller",media,serio,1974,7.8
La planète sauvage,"Animation, Sci-Fi",corta,neutral,1973,7.8
The Day of the Jackal,"Crime, Drama, Thriller",larga,serio,1973,7.8
Badlands,"Action, Crime, Drama",media,serio,1973,7.8
Cabaret,"Drama, Music, Musical",larga,serio,1972,7.8
Willy Wonka & the Chocolate Factory,"Family, Fantasy, Musical",media,neutral,1971,7.8
Midnight Cowboy,Drama,media,serio,1969,7.8
Wait Until Dark,Thriller,media,neutral,1967,7.8
Guess Who's Coming to Dinner,"Comedy, Drama",media,divertido,1967,7.8
Bonnie and Clyde,"Action, Biography, Crime",media,emocionante,1967,7.8
My Fair Lady,"Drama, Family, Musical",larga,serio,1964,7.8
Mary Poppins,"Comedy, Family, Fantasy",larga,divertido,1964,7.8
The Longest Day,"Action, Drama, History",larga,serio,1962,7.8
Jules et Jim,"Drama, Romance",media,serio,1962,7.8
The Innocents,Horror,media,oscuro,1961,7.8
À bout de souffle,"Crime, Drama",media,serio,1960,7.8
Red River,"Action, Adventure, Drama",larga,serio,1948,7.8
Key Largo,"Action, Crime, Drama",media,serio,1948,7.8
To Have and Have Not,"Adventure, Comedy, Film-Noir",media,divertido,1944,7.8
Shadow of a Doubt,"Film-Noir, Thriller",media,neutral,1943,7.8
Stagecoach,"Adventure, Drama, Western",media,serio,1939,7.8
The Lady Vanishes,"Mystery, Thriller",media,neutral,1938,7.8
Bringing Up Baby,"Comedy, Family, Romance",media,divertido,1938,7.8
Bride of Frankenstein,"Drama, Horror, Sci-Fi",corta,serio,1935,7.8
Duck Soup,"Comedy, Musical, War",corta,divertido,1933,7.8
Scarface: The Shame of the Nation,"Action, Crime, Drama",media,serio,1932,7.8
Frankenstein,"Drama, Horror, Sci-Fi",corta,serio,1931,7.8
Roma,Drama,larga,serio,2018,7.7
God's Own Country,"Drama, Romance",media,serio,2017,7.7
Deadpool 2,"Action, Adventure, Comedy",media,divertido,2018,7.7
Wind River,"Crime, Drama, Mystery",media,serio,2017,7.7
Get Out,"Horror, Mystery, Thriller",media,oscuro,2017,7.7
Mission: Impossible - Fallout,"Action, Adventure, Thriller",larga,emocionante,2018,7.7
En man som heter Ove,"Comedy, Drama, Romance",media,divertido,2015,7.7
What We Do in the Shadows,"Comedy, Horror",corta,divertido,2014,7.7
Omoide no Mânî,"Animation, Drama, Family",media,serio,2014,7.7
The Theory of Everything,"Biography, Drama, Romance",larga,serio,2014,7.7
Kingsman: The Secret Service,"Action, Adventure, Comedy",larga,divertido,2014,7.7
The Fault in Our Stars,"Drama, Romance",larga,serio,2014,7.7
Me and Earl and the Dying Girl,"Comedy, Drama",media,divertido,2015,7.7
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",media,divertido,2014,7.7
La vie d'Adèle,"Drama, Romance",larga,serio,2013,7.7
Kai po che!,"Drama, Sport",larga,serio,2013,7.7
The Broken Circle Breakdown,"Drama, Music, Romance",media,serio,2012,7.7
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",larga,emocionante,2014,7.7
Rockstar,"Drama, Music, Musical",larga,serio,2011,7.7
Nebraska,"Adventure, Comedy, Drama",media,divertido,2013,7.7
Wreck-It Ralph,"Animation, Adventure, Comedy",media,divertido,2012,7.7
Le Petit Prince,"Animation, Adventure, Drama",media,serio,2015,7.7
Detachment,Drama,media,serio,2011,7.7
Midnight in Paris,"Comedy, Fantasy, Romance",media,divertido,2011,7.7
The Lego Movie,"Animation, Action, Adventure",media,emocionante,2014,7.7
Gravity,"Drama, Sci-Fi, Thriller",media,serio,2013,7.7
Star Trek Into Darkness,"Action, Adventure, Sci-Fi",larga,emocionante,2013,7.7
Beasts of No Nation,"Drama, War",larga,serio,2015,7.7
The Social Network,"Biography, Drama",media,serio,2010,7.7
X: First Class,"Action, Adventure, Sci-Fi",larga,emocionante,2011,7.7
The Hangover,Comedy,media,divertido,2009,7.7
Skyfall,"Action, Adventure, Thriller",larga,emocionante,2012,7.7
Silver Linings Playbook,"Comedy, Drama, Romance",larga,divertido,2012,7.7
Argo,"Biography, Drama, Thriller",media,serio,2012,7.7
(500) Days of Summer,"Comedy, Drama, Romance",media,divertido,2009,7.7
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",larga,neutral,2010,7.7
Gake no ue no Ponyo,"Animation, Adventure, Comedy",media,divertido,2008,7.7
Frost/Nixon,"Biography, Drama, History",larga,serio,2008,7.7
Papurika,"Animation, Drama, Fantasy",media,serio,2006,7.7
Changeling,"Biography, Crime, Drama",larga,serio,2008,7.7
Flipped,"Comedy, Drama, Romance",media,divertido,2010,7.7
Toki o kakeru shôjo,"Animation, Adventure, Comedy",media,divertido,2006,7.7
Death Note: Desu nôto,"Crime, Drama, Fantasy",larga,serio,2006,7.7
This Is England,"Crime, Drama",media,serio,2006,7.7
Ex Machina,"Drama, Sci-Fi, Thriller",media,serio,2014,7.7
Efter brylluppet,Drama,media,serio,2006,7.7
The Last King of Scotland,"Biography, Drama, History",larga,serio,2006,7.7
Zodiac,"Crime, Drama, Mystery",larga,serio,2007,7.7
Lucky Number Slevin,"Action, Crime, Drama",media,serio,2006,7.7
Joyeux Noël,"Drama, History, Music",media,serio,2005,7.7
Control,"Biography, Drama, Music",larga,serio,2007,7.7
Tangled,"Animation, Adventure, Comedy",media,divertido,2010,7.7
Zwartboek,"Drama, Thriller, War",larga,serio,2006,7.7
Brokeback Mountain,"Drama, Romance",larga,serio,2005,7.7
3:10 to Yuma,"Action, Crime, Drama",larga,serio,2007,7.7
Crash,"Crime, Drama, Thriller",media,serio,2004,7.7
Kung fu,"Action, Comedy, Fantasy",media,divertido,2004,7.7
The Bourne Supremacy,"Action, Mystery, Thriller",media,emocionante,2004,7.7
The Machinist,"Drama, Thriller",media,serio,2004,7.7
Ray,"Biography, Drama, Music",larga,serio,2004,7.7
Lost in Translation,"Comedy, Drama",media,divertido,2003,7.7
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",larga,neutral,2005,7.7
Man on Fire,"Action, Crime, Drama",larga,serio,2004,7.7
Coraline,"Animation, Drama, Family",media,serio,2009,7.7
The Last Samurai,"Action, Drama",larga,serio,2003,7.7
The Magdalene Sisters,Drama,media,serio,2002,7.7
Good Bye Lenin!,"Comedy, Drama, Romance",larga,divertido,2003,7.7
In America,Drama,media,serio,2002,7.7
I Am Sam,Drama,larga,serio,2001,7.7
Adaptation.,"Comedy, Drama",media,divertido,2002,7.7
Black Hawk Down,"Drama, History, War",larga,serio,2001,7.7
Road to Perdition,"Crime, Drama, Thriller",media,serio,2002,7.7
Das Experiment,"Drama, Thriller",media,serio,2001,7.7
Billy Elliot,"Drama, Music",media,serio,2000,7.7
Hedwig and the Angry Inch,"Comedy, Drama, Music",media,divertido,2001,7.7
Ocean's Eleven,"Crime, Thriller",media,neutral,2001,7.7
Vampire Hunter D: Bloodlust,"Animation, Action, Fantasy",media,emocionante,2000,7.7
"O Brother, Where Art Thou?","Adventure, Comedy, Crime",media,divertido,2000,7.7
Interstate 60: Episodes of the Road,"Adventure, Comedy, Drama",media,divertido,2002,7.7
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy",corta,divertido,1999,7.7
Office Space,Comedy,corta,divertido,1999,7.7
Happiness,"Comedy, Drama",larga,divertido,1998,7.7
Training Day,"Crime, Drama, Thriller",larga,serio,2001,7.7
Rushmore,"Comedy, Drama, Romance",media,divertido,1998,7.7
Abre los ojos,"Drama, Mystery, Sci-Fi",media,serio,1997,7.7
Being John Malkovich,"Comedy, Drama, Fantasy",media,divertido,1999,7.7
As Good as It Gets,"Comedy, Drama, Romance",larga,divertido,1997,7.7
The Fifth Element,"Action, Adventure, Sci-Fi",larga,emocionante,1997,7.7
Le dîner de cons,Comedy,corta,divertido,1998,7.7
Donnie Brasco,"Biography, Crime, Drama",larga,serio,1997,7.7
Shine,"Biography, Drama, Music",media,serio,1996,7.7
Primal Fear,"Crime, Drama, Mystery",larga,serio,1996,7.7
Hamlet,Drama,larga,serio,1996,7.7
A Little Princess,"Drama, Family, Fantasy",media,serio,1995,7.7
Do lok tin si,"Comedy, Crime, Drama",media,divertido,1995,7.7
Il postino,"Biography, Comedy, Drama",media,divertido,1994,7.7
Clerks,Comedy,media,divertido,1994,7.7
Short Cuts,"Comedy, Drama",larga,divertido,1993,7.7
Philadelphia,Drama,larga,serio,1993,7.7
The Muppet Christmas Carol,"Comedy, Drama, Family",corta,divertido,1992,7.7
Malcolm X,"Biography, Drama, History",larga,serio,1992,7.7
The Last of the Mohicans,"Action, Adventure, Drama",media,serio,1992,7.7
Kurenai no buta,"Animation, Adventure, Comedy",media,divertido,1992,7.7
Glengarry Glen Ross,"Crime, Drama, Mystery",media,serio,1992,7.7
A Few Good Men,"Drama, Thriller",larga,serio,1992,7.7
Fried Green Tomatoes,Drama,larga,serio,1991,7.7
Barton Fink,"Comedy, Drama, Thriller",media,divertido,1991,7.7
Miller's Crossing,"Crime, Drama, Thriller",media,serio,1990,7.7
